Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 

2568 : 5136 -> 5136, collisions 246
2568 : 5136 -> 5136, collisions 20
2568 : 5136 -> 5136, collisions 52

935 : 1870 -> 1870, collisions 210
935 : 1870 -> 1870, collisions 8
935 : 1870 -> 1870, collisions 8

7419 : 14838 -> 14838, collisions 138
7419 : 14838 -> 14838, collisions 14
7419 : 14838 -> 14838, collisions 2

9626 : 19252 -> 19252, collisions 2
9626 : 19252 -> 19252, collisions 68
9626 : 19252 -> 19252, collisions 18

1293 : 2586 -> 2586, collisions 78
1293 : 2586 -> 2586, collisions 8
1293 : 2586 -> 2586, collisions 34

495 : 990 -> 990, collisions 6
495 : 990 -> 990, collisions 30
495 : 990 -> 990, collisions 12

Linear    2284 collisions
Quadratic 770 collisions
Double    672 collisions

*** Random Order End ***

Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Ascending Order Start *** 

192 : 384 -> 384, collisions 0
192 : 384 -> 384, collisions 0
192 : 384 -> 384, collisions 0

212 : 424 -> 424, collisions 0
212 : 424 -> 424, collisions 0
212 : 424 -> 424, collisions 0

242 : 484 -> 484, collisions 0
242 : 484 -> 484, collisions 0
242 : 484 -> 484, collisions 0

245 : 490 -> 490, collisions 0
245 : 490 -> 490, collisions 0
245 : 490 -> 490, collisions 0

259 : 518 -> 518, collisions 0
259 : 518 -> 518, collisions 0
259 : 518 -> 518, collisions 0

304 : 608 -> 608, collisions 0
304 : 608 -> 608, collisions 0
304 : 608 -> 608, collisions 0

314 : 628 -> 628, collisions 0
314 : 628 -> 628, collisions 0
314 : 628 -> 628, collisions 0

434 : 868 -> 868, collisions 0
434 : 868 -> 868, collisions 0
434 : 868 -> 868, collisions 0

489 : 978 -> 978, collisions 0
489 : 978 -> 978, collisions 0
489 : 978 -> 978, collisions 0

495 : 990 -> 990, collisions 2
495 : 990 -> 990, collisions 2
495 : 990 -> 990, collisions 2

526 : 1052 -> 1052, collisions 0
526 : 1052 -> 1052, collisions 0
526 : 1052 -> 1052, collisions 0

537 : 1074 -> 1074, collisions 0
537 : 1074 -> 1074, collisions 0
537 : 1074 -> 1074, collisions 0

618 : 1236 -> 1236, collisions 0
618 : 1236 -> 1236, collisions 0
618 : 1236 -> 1236, collisions 0

735 : 1470 -> 1470, collisions 0
735 : 1470 -> 1470, collisions 0
735 : 1470 -> 1470, collisions 0

